kind,key,source,line,render_type,layer,parameters,directives,dependencies,effect_calls
timeline,water_choked_s,__main.particle,615,,,mx;my,SND,water_choked_bubble,
timeline,water_choked_s_in_stomach,__main.particle,621,,,mx;my,SND,water_choked_bubble_in_absorb,
particle,water_choked_bubble,__main.particle,628,BUBBLE_S,TOP_ADD,,,,
particle,water_choked_bubble_in_absorb,__main.particle,654,,,,CLONE,water_choked_bubble,
particle,ui_popper_click,__main.particle,665,CIRCLE,,,,,
particle,ui_enhancer_act,__main.particle,685,CIRCLE,,,,,
particle,alchemy_insert,__main.particle,711,POLYGON,,,,,
particle,alchemy_success,__main.particle,735,SURIKEN,,,,,
particle,alchemy_trm_ssc_charge,__main.particle,762,CIRCLE,,,,,
particle,alchemy_trm_ssc_aft_circle,__main.particle,781,CIRCLE,,,,,
particle,alchemy_trm_ssc_aft_success,__main.particle,794,HEART,,,,,
particle,alchemy_trm_ssc_aft_failure,__main.particle,814,HEART,,,,,
timeline,reel_obtain_appear,__main.particle,844,,,delay;maxt,SND,reel_obtain_circle;reel_obtain_flash;reel_obtain_star,
particle,reel_obtain_star,__main.particle,856,ANIMKIRA,TOP_ADD,,,,
particle,reel_obtain_flash,__main.particle,882,BLURCIRCLE,TOP_ADD,,,,
particle,reel_obtain_circle,__main.particle,914,CIRCLE,TOP_ADD,,,,
particle,reel_normal_circle,__main.particle,937,BLURCIRCLE,,,,,
timeline,reel_decided,__main.particle,971,,,h;w,,reel_decided_dot;reel_decided_rect_f;reel_decided_rect_t,
particle,reel_decided_dot,__main.particle,981,DOT,,,,,
particle,reel_decided_rect_f,__main.particle,1005,HRECT,TOP_ADD,,,,
particle,reel_decided_rect_t,__main.particle,1022,,,,CLONE,reel_decided_rect_f,
timeline,reel_decide_ik_grade,__main.particle,1040,,,cx;cy,,reel_decide_grade_star,
particle,reel_decide_grade_star,__main.particle,1046,SURIKEN,TOP_ADD,,,,
timeline,reel_decide_ik_count_add,__main.particle,1071,,,cx;cy,,reel_decide_count_add_door,
particle,reel_decide_count_add_door,__main.particle,1077,DOORLINE,TOP,,,,
timeline,reel_decide_ik_count_mul,__main.particle,1105,,,cx;cy,,reel_decide_count_mul_cross,
particle,reel_decide_count_mul_cross,__main.particle,1110,DAIA,TOP,,,,
timeline,reel_decide_ik_add_money,__main.particle,1138,,,cx;cy,SND,reel_decide_money_kira,
particle,reel_decide_money_kira,__main.particle,1144,,,,CLONE,get_coin_unikira,
timeline,reel_mbox_decide,__main.particle,1154,,,color;cx;cy,WAIT,reel_mbox_decide_circle;reel_mbox_decide_halo;reel_mbox_decide_kira,
particle,reel_mbox_decide_circle,__main.particle,1164,BLURCIRCLE,TOP_ADD,,,,
particle,reel_mbox_decide_kira,__main.particle,1181,ANIMKIRA,TOP_ADD,,,,
particle,reel_mbox_decide_halo,__main.particle,1200,HALO,TOP_ADD,,,,
timeline,reel_disappear,__main.particle,1219,,,,SND;WAIT,reel_disappear_doorline;reel_disappear_smoke,
particle,reel_disappear_doorline,__main.particle,1226,DOORLINE,,,,,
particle,reel_disappear_smoke,__main.particle,1242,SMOKE_L,,,,,
timeline,ui_use_item,__main.particle,1262,,,,,,
particle,ui_use_item,__main.particle,1267,HALO,TOP_ADD,,,,
timeline,ui_use_food,__main.particle,1294,,,,SND,,
particle,ui_use_food,__main.particle,1300,,TOP,,CLONE,ui_use_item,
timeline,ui_use_item_inventory_expand,__main.particle,1316,,,,SND,inventory_expand_star,
particle,inventory_expand_star,__main.particle,1322,,TOP,,CLONE,reel_decide_grade_star,
timeline,Ptc250203,__main.particle,1335,,,,,,
particle,_Ptc250203,__main.particle,1340,,,,,,
timeline,Ptc250715,__main.particle,1366,,,,WAIT,_Ptc250715,
particle,_Ptc250715,__main.particle,1371,BLURCIRCLE,,,,,
particle,revealstar_prehalo,__main.particle,1394,UNIBRIGHT,,,,,
particle,revealstar_aftcircle,__main.particle,1421,BLURCIRCLE,,,,,
particle,revealstar_aftkira,__main.particle,1439,ANIMKIRA,,,,,
timeline,pr_cane_swing,attack.particle,1,,,_sagR;ax;cx;cy;ef_name;lax;mg;shift,EF;SND;WAIT,pr_cane_dot_10;pr_cane_dot_20;pr_cane_dot_30;pr_cane_dot_40,cane_swing;cane_swing_mg
particle,pr_cane_dot_30,attack.particle,57,DOT,,,,,
particle,pr_cane_dot_20,attack.particle,96,,,,CLONE,pr_cane_dot_30,
particle,pr_cane_dot_10,attack.particle,105,,,,CLONE,pr_cane_dot_30,
particle,pr_cane_dot_40,attack.particle,114,,,,CLONE,pr_cane_dot_30,
particle,___pr_cane_dot_b_MERGE,attack.particle,124,,,,,,
particle,pr_cane_dot_30b,attack.particle,139,,,,CLONE;MERGE,___pr_cane_dot_b_MERGE;pr_cane_dot_30,
particle,pr_cane_dot_20b,attack.particle,142,,,,CLONE;MERGE,___pr_cane_dot_b_MERGE;pr_cane_dot_20,
particle,pr_cane_dot_10b,attack.particle,145,,,,CLONE;MERGE,___pr_cane_dot_b_MERGE;pr_cane_dot_10,
particle,pr_cane_dot_40b,attack.particle,148,,,,CLONE;MERGE,___pr_cane_dot_b_MERGE;pr_cane_dot_40,
particle,___pr_cane_dot_r_MERGE,attack.particle,152,POLYGON,ADD,,,,
particle,pr_cane_dot_30r,attack.particle,182,,,,CLONE;MERGE,___pr_cane_dot_r_MERGE;pr_cane_dot_30,
particle,pr_cane_dot_20r,attack.particle,185,,,,CLONE;MERGE,___pr_cane_dot_r_MERGE;pr_cane_dot_20,
particle,pr_cane_dot_10r,attack.particle,188,,,,CLONE;MERGE,___pr_cane_dot_r_MERGE;pr_cane_dot_10,
particle,pr_cane_dot_40r,attack.particle,191,,,,CLONE;MERGE,___pr_cane_dot_r_MERGE;pr_cane_dot_40,
particle,pr_cane_elec,attack.particle,198,ELEC,ADD,,,,
particle,pr_cane_elec_r,attack.particle,243,,,,CLONE,pr_cane_elec,
timeline,pr_cane_hit,attack.particle,254,,,_sagR;ax;hit_x;hit_y,PVIB;SND,pr_cane_hit_dot_l;pr_cane_hit_dot_r;pr_cane_hit_halo_l;pr_cane_hit_halo_r;pr_cane_hit_small_halo,
timeline,pr_comet_hit,attack.particle,271,,,_sagR;hit_x;hit_y,PVIB;SND,pr_cane_hit_dot_t;pr_cane_hit_halo_l;pr_cane_hit_halo_r;pr_cane_hit_small_halo,
particle,pr_cane_hit_halo_r,attack.particle,284,HALO,NORMAL,,,,
particle,pr_cane_hit_halo_l,attack.particle,321,,,,CLONE,pr_cane_hit_halo_r,
timeline,pr_sliding_hit,attack.particle,331,,,hit_x;hit_y,PVIB;SND,pr_sliding_halo;pr_sliding_halo2,
particle,pr_sliding_halo,attack.particle,341,,ADD,,CLONE,pr_cane_hit_halo_l,
particle,pr_sliding_halo2,attack.particle,370,,NORMAL,,CLONE,pr_sliding_halo,
particle,pr_cane_hit_dot_r,attack.particle,386,POLYGON,ADD,,,,
particle,pr_cane_hit_dot_l,attack.particle,413,,,,CLONE,pr_cane_hit_dot_r,
particle,pr_cane_hit_dot_t,attack.particle,419,,,,CLONE,pr_cane_hit_dot_r,
particle,pr_cane_hit_small_halo,attack.particle,427,,ADD,,CLONE,pr_hits_halo,
timeline,hit_parry,attack.particle,457,,,hagR;hx;hy,PVIB,hit_parry_circle;hit_parry_dot;hit_parry_halo,
particle,hit_parry_circle,attack.particle,467,BLURPOLYGON,SUB,,,,
particle,hit_parry_dot,attack.particle,502,DOT,TOP,,,,
particle,hit_parry_halo,attack.particle,531,,TOP_ADD,,CLONE,pr_cane_hit_small_halo,
timeline,wheel_ground_bump,attack.particle,552,,,_ex_min;_slen_max;cx;cy,PVIB;SND,ground_bump_smoke_l;ground_bump_smoke_r;wheel_ground_halo,
timeline,wheel_ground_bounce,attack.particle,563,,,_agR;ax;cx;cy;x,PVIB;SND,wheel_ground_halo,
particle,wheel_ground_halo,attack.particle,573,,TOP,,CLONE,pr_cane_hit_small_halo,
timeline,pr_wheel_hit,attack.particle,601,,,_agR;hit_x;hit_y,PVIB;SND,wheel_hit_circle;wheel_hit_halo,
particle,wheel_hit_halo,attack.particle,613,,TOP,,CLONE,pr_cane_hit_small_halo,
particle,wheel_hit_circle,attack.particle,638,POLYGON,TOP,,,,
timeline,wheel_fly,attack.particle,673,,,ax;cx;cy,DATAC;EF;SND;WAIT,,pr_wheel_cyclone
timeline,wheel_fly_shotgun,attack.particle,682,,,ax;cx;cy,DATAC;EF;SND;WAIT,pr_wheel_stars,pr_wheel_cyclone;pr_wheel_cyclone_b
particle,pr_wheel_stars,attack.particle,695,ANIMKIRA,TOP_ADD,,,,
timeline,comet_fly,attack.particle,732,,,cx;cy,DATAC;EFT;PVIB;SND,pr_backstep_halo,comet_afterimage
timeline,comet_fly_shotgun,attack.particle,741,,,cx;cy,DATAC;EFT;PVIB;SND;WAIT,pr_comet_stars;pr_shotgun_backstep_halo,comet_afterimage
particle,pr_comet_stars,attack.particle,755,ANIMKIRA,TOP_ADD,,,,
timeline,comet_ground_bump,attack.particle,785,,,_ex_min;_slen_max;by;cx,PVIB;SND,ground_bump_smoke_l;ground_bump_smoke_r;wheel_ground_halo,
particle,pr_backstep_halo,attack.particle,797,,TOP,,CLONE,enemy_backstep_halo,
particle,pr_shotgun_backstep_halo,attack.particle,813,,TOP_ADD,,CLONE,pr_backstep_halo,
timeline,guard_bush_apply,attack.particle,826,,,applyt;maxt;radius,EF;PVIB;SND_ACT;WAIT,guard_bush_circle_0;guard_bush_circle_1;guard_bush_reanimate;guard_bush_tri_0;guard_bush_tri_line,
particle,guard_bush_circle_0,attack.particle,842,BLURCIRCLE,ADD,,,,
particle,guard_bush_circle_1,attack.particle,858,BLURCIRCLE,ADD,,,,
particle,guard_bush_tri_0,attack.particle,878,POLYGON,TOP_ADD,,,,
particle,guard_bush_tri_line,attack.particle,899,,,,CLONE,guard_bush_tri_0,
particle,guard_bush_reanimate,attack.particle,906,,,,CLONE,magic_casting_line_t,
timeline,shield_lariat_init,attack.particle,915,,,cx;cy,PVIB;SND,shield_lariat_init_kira,
particle,shield_lariat_init_kira,attack.particle,921,HALO,TOP_ADD,,,,
timeline,shield_lariat_atk,attack.particle,941,,,ax;cx;cy;z,,shield_lariat_atk_kira;shield_lariat_atk_kira_r;shield_lariat_halo,
particle,shield_lariat_atk_kira,attack.particle,950,ANIMKIRA,TOP_ADD,,,,
particle,shield_lariat_atk_kira_r,attack.particle,978,,,,CLONE,shield_lariat_atk_kira,
particle,shield_lariat_halo,attack.particle,986,,TOP_ADD,,CLONE,enemy_backstep_halo,
timeline,hit_shield_atk,attack.particle,1003,,,hit_x;hit_y,SND,hit_shield_atk_circle;hit_shield_atk_circle_t,
particle,hit_shield_atk_circle,attack.particle,1011,CIRCLE,TOP_ADD,,,,
particle,hit_shield_atk_circle_t,attack.particle,1029,,,,CLONE,hit_shield_atk_circle,
timeline,dashpunch_inner,attack.particle,1040,,,agR;ax;cpos;cx;cy,SND,dashpunch_dot;dashpunch_halo;dashpunch_halo_center;dashpunch_halo_center_b,
timeline,dashpunch,attack.particle,1052,,,,MERGE;WAIT,dashpunch_inner,
particle,dashpunch_halo,attack.particle,1059,HALO,,,,,
particle,dashpunch_dot,attack.particle,1090,DOT,TOP,,CLONE,dashpunch_halo,
particle,dashpunch_halo_center,attack.particle,1106,,TOP,,CLONE,dashpunch_halo,
particle,dashpunch_halo_center_b,attack.particle,1121,,TOP_SUB,,CLONE,dashpunch_halo_center,
timeline,dashpunch_shotgun_inner,attack.particle,1132,,,agR;ax;cpos;cx;cy;msx,SND,dashpunch_shotgun_dot;dashpunch_shotgun_elec;dashpunch_shotgun_halo;dashpunch_shotgun_halo_center;dashpunch_shotgun_halo_center_b,
timeline,dashpunch_shotgun,attack.particle,1148,,,,MERGE;WAIT,dashpunch_shotgun_inner,
particle,dashpunch_shotgun_halo,attack.particle,1154,,ADD,,CLONE,dashpunch_halo,
particle,dashpunch_shotgun_dot,attack.particle,1161,,TOP_ADD,,CLONE,dashpunch_dot,
particle,dashpunch_shotgun_halo_center,attack.particle,1169,,TOP_ADD,,CLONE,dashpunch_halo_center,
particle,dashpunch_shotgun_halo_center_b,attack.particle,1176,,,,CLONE,dashpunch_halo_center_b,
particle,dashpunch_shotgun_elec,attack.particle,1182,ELEC_LINE,ADD,,,,
timeline,smash_prepare,attack.particle,1217,,,cx;cy;is_shotgun,QU_HANDSHAKE;QU_SINV2;QU_VIB;SND,smash_prepare_smoke,
particle,smash_prepare_smoke,attack.particle,1237,SMOKE_L,TOP,,,,
timeline,smash_attack,attack.particle,1267,,,ax;cx;msx,MERGE;QU_SINH;QU_VIB;WAIT,dashpunch_inner,
timeline,smash_shotgun_attack,attack.particle,1282,,,ax;cx;msx,MERGE;QU_SINH;QU_VIB;SND;WAIT,dashpunch_shotgun_inner,
timeline,sway_sliding_activate,attack.particle,1296,,,applyt;cx;cy;maxt,SND;WAIT,sway_sliding_activate_circle;sway_sliding_kira;sway_sliding_recharge_circle,
particle,sway_sliding_activate_circle,attack.particle,1308,CIRCLE,TOP,,,,
particle,sway_sliding_kira,attack.particle,1328,,,,CLONE,get_coin_unikira_base,
particle,sway_sliding_recharge_circle,attack.particle,1345,SHOCKRIPPLE_C,TOP,,,,
timeline,justguard_prepare,attack.particle,1375,,,cx;cy;time;w,WAIT,justguard_prepare_daia,
particle,justguard_prepare_daia,attack.particle,1383,BLURCIRCLE,TOP_ADD,,,,
timeline,shield_explode,attack.particle,1411,,,cx;cy,QU_SINV2;QU_VIB;SND;WAIT,shield_explode_halo,
particle,shield_explode_halo,attack.particle,1420,,TOP_SUB,,CLONE,enemyod_appear_halo,
timeline,evade_counter_prepare,attack.particle,1438,,,_e;cx;cy,DEFINE_EVADECOUNTER_ENABLED;MYPOS;WAIT,evade_counter_prepare_stars,
particle,evade_counter_prepare_stars,attack.particle,1450,,,,CLONE,pr_wheel_stars,
timeline,evadecounter_atk_prepare0,attack.particle,1463,,,,SND,,
timeline,evadecounter_atk_prepare1,attack.particle,1469,,,,SND,,
timeline,evadecounter_attack,attack.particle,1475,,,_agd;ax;cx;cy;is_shotgun;len,AGD;PVIB;QU_HANDSHAKE;QU_SINV;QU_VIB;SND,evadecounter_attack_circle,
particle,evadecounter_attack_circle,attack.particle,1497,HALO,TOP,,,,
attack_ghost,evadecounter_attack0,attack.particle,1534,,,,,,
attack_ghost,evadecounter_attack1,attack.particle,1551,,,,,,
timeline,evade_jump,attack.particle,1572,,,cx;cy,MYPOS;SND;WAIT,evade_jump_kira,
particle,evade_jump_kira,attack.particle,1581,ANIMKIRA,TOP_ADD,,,,
timeline,evade_jump_deperture,attack.particle,1600,,,cx;cy,WAIT,evade_jump_deperture_circle;evade_jump_deperture_halo,
particle,evade_jump_deperture_circle,attack.particle,1609,BLURCIRCLE,TOP_ADD,,,,
particle,evade_jump_deperture_halo,attack.particle,1627,HALO,TOP_ADD,,,,
timeline,evade_jump_moving,attack.particle,1647,,,agR;cx;cy,EFT,pr_backstep_halo,dash_afterimage
timeline,evade_jump_execute,attack.particle,1654,,,cx;cy,EFT;SND,evade_jump_deperture_circle;evade_jump_execute_dot;shield_deactivate_doorbit,post_fireball_sphere
particle,evade_jump_execute_dot,attack.particle,1662,POLYGON,TOP_ADD,,,,
timeline,shinebooster_tackle,attack_alice.particle,1,,,agR;ax;cx;cy,FOLLOW;MYPOS;QU_VIB;SND;WAIT,shinebooster_burst_first_blurcircle_s;shinebooster_crouch_elec;shinebooster_halo;shinebooster_tackle_elec;shinebooster_tackle_elec_s,
particle,shinebooster_tackle_elec,attack_alice.particle,26,ELEC,TOP_ADD,,,,
particle,shinebooster_tackle_elec_s,attack_alice.particle,50,,SUB,,CLONE,shinebooster_tackle_elec,
particle,shinebooster_halo,attack_alice.particle,57,HALO,TOP_ADD,,,,
timeline,shinebooster_crouch,attack_alice.particle,90,,,cx;cy,FOLLOW;MYPOS;QU_SINV;QU_VIB;SND;WAIT,shinebooster_burst_first_blurcircle_s;shinebooster_crouch_elec;shinebooster_crouch_halo;shinebooster_tackle_elec;shinebooster_tackle_elec_s,
particle,shinebooster_crouch_halo,attack_alice.particle,113,,,,CLONE,shinebooster_halo,
particle,shinebooster_crouch_elec,attack_alice.particle,134,,,,CLONE,shinebooster_tackle_elec,
particle,shinebooster_trigger_circle,attack_alice.particle,154,,,,CLONE,roaper_atk0_charge_circle,
particle,shinebooster_trigger_line,attack_alice.particle,163,,,,CLONE,roaper_atk0_charge_line,
timeline,shinebooster_tackle_te,attack_alice.particle,186,,,,TE_COLORBLINK_ADD;WAIT,,
timeline,shinebooster_trigger,attack_alice.particle,196,,,by;cx;cy;da;i,DATAD;FOLLOW;QU_HANDSHAKE;QU_VIB;SND;WAIT,ground_bump_smoke_l;ground_bump_smoke_r;shinebooster_tackle_elec;shinebooster_tackle_elec_s;shinebooster_trigger_circle;shinebooster_trigger_line,
timeline,shinebooster_trigger_te,attack_alice.particle,224,,,i,TE_COLORBLINK_ADD;WAIT,,
timeline,shinebooster_burst,attack_alice.particle,235,,,agR;cx;cy,EFT;FOLLOW;MYPOS;QU_HANDSHAKE;QU_SINV2;QU_VIB2;SND;WAIT,shinebooster_burst_bezier_line;shinebooster_burst_first_blurcircle;shinebooster_burst_halo;shinebooster_burst_hold_halo,flash
particle,shinebooster_burst_first_blurcircle,attack_alice.particle,262,BLURCIRCLE,TOP_ADD,,,,
particle,shinebooster_burst_first_blurcircle_s,attack_alice.particle,276,,,,CLONE,shinebooster_burst_first_blurcircle,
particle,shinebooster_burst_bezier_line,attack_alice.particle,282,STROKE,TOP_ADD,,,,
particle,shinebooster_burst_halo,attack_alice.particle,309,,,,CLONE,shinebooster_halo,
particle,shinebooster_burst_hold_halo,attack_alice.particle,320,,,,CLONE,shinebooster_halo,
timeline,shinebooster_hitwall,attack_alice.particle,337,,,agR;cx;cy;oR,QU_HANDSHAKE;QU_SINV;QU_VIB;SND,pr_shotgun_backstep_halo;shinebooster_hitwall_smoke;shinebooster_hiwall_halo,
particle,shinebooster_hitwall_smoke,attack_alice.particle,350,SMOKE_L,,,,,
particle,shinebooster_hiwall_halo,attack_alice.particle,374,,,,CLONE,shinebooster_halo,
timeline,prko_ground,damage.particle,1,,,,PVIB_DMG;SND,,
timeline,hits,damage.particle,7,,,_rand_rot;_rand_y;_size;attr;ax;bodyagR;centerpr;cx;cy;hipx;hipy;hit_x;hit_y;mbottom;mleft;mright;mtop;raim_agR;rot_agR;y,CALCPOS;CALC_BODY_AGR;EF;GET_LOCK_MGATTR;HIPPOS;HOLD;PVIB_DMG;SET_LOCK_MGATTR;SND;WAIT,absorb_atk_basic;burned_pr_smoke_w;dmg_bite_circle_0;dmg_bite_circle_1;frozen_gacha_dot;hit_acme_circle;hit_acme_circle_f;hit_frozen_line;pr_burned_poly;pr_burned_poly_t;pr_hit_dust;pr_hit_dust_thunder;pr_hit_grab;pr_hit_grab_b;pr_hit_grab_circle;pr_hit_stab_circle;pr_hit_stab_circle_l;pr_hit_stab_circle_ll;pr_hit_stab_halo;pr_hit_thunder_circle;pr_hit_thunder_elec;pr_hit_thunder_elec_release;pr_hit_thunder_elec_release_green;pr_hit_thunder_elec_sub;pr_hit_wip;pr_hit_wip_a;pr_hit_wip_circle;pr_hitl_blood;pr_hits_halo;pr_hits_halo_b;pr_web_trapped_circle_l;process_ser_frozen_smoke;stone_gacha_dot;stone_gacha_smoke,bite_triangle;flash
timeline,hitl,damage.particle,204,,,_rand_rot;_rand_y;_size;attr;ax;bodyagR;centerpr;cx;cy;hipx;hipy;hit_x;hit_y;mbottom;mleft;mright;mtop;raim_agR;rot_agR;snd_hitl;y,CALCPOS;CALC_BODY_AGR;EF;GET_LOCK_MGATTR;HIPPOS;HOLD;PVIB_DMG;SET_LOCK_MGATTR;SND;WAIT,absorb_atk_basic;burned_pr_smoke_w;dmg_bite_circle_0;dmg_bite_circle_1;frozen_gacha_dot;hit_acme_circle;hit_frozen_line;pr_burned_poly;pr_burned_poly_t;pr_hit_dust;pr_hit_dust_thunder;pr_hit_stab_circle;pr_hit_stab_circle_l;pr_hit_stab_circle_ll;pr_hit_stab_halo;pr_hit_thunder_circle;pr_hit_thunder_elec;pr_hit_thunder_elec_release;pr_hit_thunder_elec_release_green;pr_hit_thunder_elec_sub;pr_hit_wip;pr_hit_wip_a;pr_hit_wip_circle;pr_hitl_blood;pr_hitl_halo;pr_hitl_halo_b;pr_web_trapped_circle_l;process_ser_frozen_smoke;stone_gacha_dot;stone_gacha_smoke,bite_triangle;flash
timeline,hitabsorb,damage.particle,364,,,_rot;cx;cy;hit_x;hit_y,CALCPOS;SND,pr_hit_dust;pr_hit_line,
timeline,hitabsorb_R,damage.particle,374,,,agR;cx;cy,SND,pr_hit_dust;pr_hit_line,
particle,pr_hitl_blood,damage.particle,383,DOT,,,,,
particle,pr_hits_halo,damage.particle,414,HALO,NORMAL,,,,
particle,pr_hits_halo_b,damage.particle,447,,SUB,,CLONE,pr_hits_halo,
particle,pr_hitl_halo,damage.particle,461,,,,CLONE,pr_hits_halo,
particle,pr_hitl_halo_b,damage.particle,466,,,,CLONE,pr_hits_halo_b,
particle,pr_hit_dust,damage.particle,474,LINE,,,,,
particle,pr_hit_line,damage.particle,507,LINE,,,,,
timeline,dmg_bound,damage.particle,543,,,aim_agR;mbottom;x,CALCPOS;PVIB_DMG;SND,dmg_down_sunabokori,
timeline,dmg_down,damage.particle,550,,,aim_agR;cnt;mbottom;raim_agR;vx;x,CALCPOS;PVIB_DMG;SND;WAIT,dmg_down_sunabokori,
particle,dmg_down_sunabokori,damage.particle,568,SUNABOKORI,NORMAL,,,,
timeline,worm_egg_activate,damage.particle,597,,,,EFT;PVIB_DMG;QU_SINV;SND,,flash;worm_egg_splash
timeline,laying_egg_activate,damage.particle,607,,,,EFT;PVIB_DMG;QU_SINH,,flash
timeline,laying_egg,damage.particle,616,,,ra;ragR;x;y,PVIB_DMG;QU_VIB;SND,laying_egg_particle,
timeline,laying_egg_worm,damage.particle,630,,,x;y,SND,laying_egg_worm_0;laying_egg_worm_1,
particle,laying_egg_worm_0,damage.particle,639,BOMBCIRCLE,,,,,
particle,laying_egg_worm_1,damage.particle,652,CIRCLE,,,,,
particle,laying_egg_particle,damage.particle,671,CIRCLE,,,,,
timeline,worm_released_splash,damage.particle,697,,,agR;cx;cy,SND,worm_released_splash_circle,
particle,worm_released_splash_circle,damage.particle,704,CIRCLE,,,,,
timeline,laying_egg_flash,damage.particle,733,,,,EFT;QU_SINV,,flash;radiation
timeline,press_damage_pr,damage.particle,742,,,agR;aim;hit_x;hit_y;ui_press,QU_SINH;QU_SINV;QU_VIB;SND,pr_press_blood;press_damage_halo;press_damage_halo2;press_damage_splash,
particle,press_damage_halo,damage.particle,766,HALO,TOP,,,,
particle,press_damage_halo2,damage.particle,797,,,,CLONE,press_damage_halo,
particle,press_damage_splash,damage.particle,810,PARTICLE_SPLASH,TOP,,,,
particle,pr_press_blood,damage.particle,843,,TOP,,CLONE,pr_hitl_blood,
timeline,press_damage_en,damage.particle,854,,,agR;hit_x;hit_y,SND,en_press_blood;press_damage_en_halo,
particle,en_press_blood,damage.particle,863,,TOP,,CLONE,pr_press_blood,
particle,press_damage_en_halo,damage.particle,870,,TOP,,CLONE,press_damage_halo,
timeline,ui_damage_press_return_0,damage.particle,880,,,ax;ay;cx;cy,AIM;SND,press_damage_return_halo,
timeline,ui_damage_press_return_1,damage.particle,890,,,ax;ay;cx;cy,AIM;SND,press_damage_return_halo,
particle,press_damage_return_halo,damage.particle,902,HALO,,,,,
particle,pr_hit_dust_thunder,damage.particle,927,,,,CLONE,pr_hit_dust,
particle,pr_hit_thunder_circle,damage.particle,936,CIRCLE,TOP_SUB,,,,
particle,pr_hit_thunder_elec,damage.particle,958,ELEC,TOP_ADD,,,,
particle,pr_hit_thunder_elec_sub,damage.particle,996,,TOP_SUB,,CLONE,pr_hit_thunder_elec,
particle,pr_hit_thunder_elec_release,damage.particle,1004,,,,CLONE,pr_hit_thunder_elec,
particle,pr_hit_thunder_elec_release_green,damage.particle,1028,,TOP_SUB,,CLONE,pr_hit_thunder_elec_release,
particle,pr_burned_poly,damage.particle,1036,BLURCIRCLE,ADD,,,,
particle,pr_burned_poly_t,damage.particle,1077,,TOP_ADD,,CLONE,pr_burned_poly,
particle,hit_frozen_line,damage.particle,1090,DOORLINE,TOP,,,,
timeline,masturbate_hit_s,damage.particle,1118,,,cx;cy;level,EFT;PVIB_DMG;QU_HANDSHAKE,masturbate_hit_heart,flash;rectflash
particle,masturbate_hit_heart,damage.particle,1151,PARTICLE_HEART,TOP,,,,
particle,pr_hit_grab,damage.particle,1176,HKADOMARU,TOP_MUL,,,,
particle,pr_hit_grab_b,damage.particle,1217,,MUL,,,,
particle,pr_hit_grab_circle,damage.particle,1223,CIRCLE,TOP_MUL,,,,
particle,pr_hit_wip,damage.particle,1262,HRECT,TOP_SUB,,,,
particle,pr_hit_wip_a,damage.particle,1294,,TOP_ADD,,CLONE,pr_hit_wip,
particle,pr_hit_wip_circle,damage.particle,1308,,TOP_SUB,,CLONE,pr_hit_grab_circle,
particle,pr_hit_stab_circle_l,damage.particle,1330,CIRCLE,TOP_SUB,,,,
